"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1905818","GO:1905818","regulation of chromosome separation",63,-0.730479486833693,-2.94385720113381,1e-10,7.58305084745763e-09,6.45495093666369e-09,1120,"tags=59%, list=12%, signal=52%","NCAPH2/NCAPD3/GEN1/CDK5RAP2/PLSCR1/HASPIN/AURKB/ANAPC15/INCENP/ZWILCH/CDCA8/BUB1B/KNTC1/NDC80/TTK/NCAPD2/NCAPG/SPC24/SMC2/MAD2L1/PLK1/NCAPG2/UBE2C/ZWINT/KNL1/NCAPH/SPDL1/CCNB1/TRIP13/NUF2/ESPL1/BUB1/BIRC5/CENPF/CDC20/SPC25/DLGAP5"
"GO:0051304","GO:0051304","chromosome separation",64,-0.71842275416419,-2.900047559988,1e-10,7.58305084745763e-09,6.45495093666369e-09,1120,"tags=58%, list=12%, signal=51%","NCAPH2/NCAPD3/GEN1/CDK5RAP2/PLSCR1/HASPIN/AURKB/ANAPC15/INCENP/ZWILCH/CDCA8/BUB1B/KNTC1/NDC80/TTK/NCAPD2/NCAPG/SPC24/SMC2/MAD2L1/PLK1/NCAPG2/UBE2C/ZWINT/KNL1/NCAPH/SPDL1/CCNB1/TRIP13/NUF2/ESPL1/BUB1/BIRC5/CENPF/CDC20/SPC25/DLGAP5"
"GO:0051983","GO:0051983","regulation of chromosome segregation",108,-0.641844061943908,-2.86813856190495,1e-10,7.58305084745763e-09,6.45495093666369e-09,1280,"tags=46%, list=14%, signal=40%","SMARCB1/MAD2L2/RCC2/NCAPH2/NCAPD3/GEN1/CDK5RAP2/PLSCR1/HASPIN/PHF10/AURKB/ANAPC15/INCENP/ZWILCH/ACTL6A/CDCA8/BUB1B/KNTC1/NDC80/TTK/NCAPD2/NCAPG/KIF2C/SPC24/CDC6/SMC2/MAD2L1/CDCA2/PLK1/NCAPG2/UBE2C/ZWINT/BCL7A/KNL1/NCAPH/SPDL1/RMI2/CCNB1/TRIP13/NUF2/ESPL1/BUB1/CDK1/BIRC5/CENPE/MKI67/CENPF/CDC20/SPC25/DLGAP5"
"GO:1903046","GO:1903046","meiotic cell cycle process",108,-0.635906410354278,-2.84160562578992,1e-10,7.58305084745763e-09,6.45495093666369e-09,651,"tags=37%, list=7%, signal=35%","ING2/RAD51D/NDC1/CDC25B/INCENP/FANCA/MYBL1/NDC80/TTK/RAD51C/KIF18A/FANCD2/CDC25C/NCAPD2/RAD54B/SMC2/RAD54L/DMC1/MND1/CCNB2/RAD51/PLK1/EME1/CENPS/CCNE2/NCAPH/BRIP1/SGO1/RAD51AP1/TRIP13/CDC25A/PTTG1/NUF2/PTTG2/ESPL1/EREG/TOP2A/ASPM/CDC20/PTTG3P"
"GO:0098813","GO:0098813","nuclear chromosome segregation",220,-0.57564736832591,-2.83184840429958,1e-10,7.58305084745763e-09,6.45495093666369e-09,1298,"tags=41%, list=14%, signal=36%","KIF2A/RAN/SMARCB1/CCNE1/MAD2L2/SMC3/RCC2/KIF22/PSMC3IP/NCAPH2/CHEK2/MIS12/NCAPD3/GEN1/CDK5RAP2/HASPIN/PHF10/KIF23/DSN1/AURKB/CENPQ/RACGAP1/NDC1/ANAPC15/INCENP/ECT2/ZWILCH/ACTL6A/CDCA8/SMC1A/BUB1B/KNTC1/NDC80/TTK/KIF18A/PRC1/FANCD2/NCAPD2/NCAPG/KIFC1/KIF2C/SPC24/CDC6/CENPK/MYBL2/CDCA5/SMC2/MAD2L1/CENPI/NEK2/DMC1/MND1/CCNB2/KIF18B/PLK1/NCAPG2/SPAG5/UBE2C/TPX2/KIF14/CCNE2/ZWINT/BCL7A/KNL1/NCAPH/SPDL1/BRIP1/NUSAP1/RMI2/CCNB1/SGO1/TRIP13/PTTG1/NUF2/PTTG2/KIF11/ESPL1/BUB1/KIF4A/CDK1/KIF4B/BIRC5/CENPE/CENPF/TOP2A/ASPM/CDC20/SPC25/PTTG3P/DLGAP5"
"GO:0140013","GO:0140013","meiotic nuclear division",97,-0.645725094173281,-2.82610536716711,1e-10,7.58305084745763e-09,6.45495093666369e-09,651,"tags=38%, list=7%, signal=36%","ING2/RAD51D/NDC1/CDC25B/INCENP/FANCA/MYBL1/NDC80/TTK/RAD51C/KIF18A/FANCD2/RAD54B/SMC2/RAD54L/DMC1/MND1/CCNB2/RAD51/PLK1/EME1/CENPS/CCNE2/NCAPH/BRIP1/SGO1/RAD51AP1/TRIP13/PTTG1/NUF2/PTTG2/ESPL1/EREG/TOP2A/ASPM/CDC20/PTTG3P"
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation",50,-0.730153683074804,-2.82234435071906,1e-10,7.58305084745763e-09,6.45495093666369e-09,1049,"tags=58%, list=11%, signal=52%","GEN1/CDK5RAP2/HASPIN/AURKB/ANAPC15/INCENP/ZWILCH/CDCA8/BUB1B/KNTC1/NDC80/TTK/SPC24/MAD2L1/PLK1/UBE2C/ZWINT/KNL1/SPDL1/CCNB1/TRIP13/NUF2/ESPL1/BUB1/BIRC5/CENPF/CDC20/SPC25/DLGAP5"
"GO:0007059","GO:0007059","chromosome segregation",302,-0.549949263959888,-2.80943200852753,1e-10,7.58305084745763e-09,6.45495093666369e-09,1298,"tags=39%, list=14%, signal=34%","KIF2A/RAN/SMARCB1/CCNE1/MAD2L2/TUBGCP4/SMC3/RCC2/KIF22/PSMC3IP/NCAPH2/CHEK2/MIS12/NCAPD3/SASS6/GEN1/CDK5RAP2/PLSCR1/HASPIN/HAUS1/PHF10/SKA2/KIF23/DSN1/AURKB/CENPQ/RACGAP1/STIL/CENPO/NDC1/ANAPC15/INCENP/CENPN/ECT2/SKA3/ZWILCH/ACTL6A/CDCA8/SMC1A/BUB1B/KNTC1/NDC80/TTK/KIF18A/PRC1/FANCD2/MIS18A/NCAPD2/HJURP/NCAPG/CENPP/SGO2/KIFC1/KIF2C/OIP5/CENPW/SPC24/TUBB/CDC6/CENPK/MYBL2/ITGB3BP/CDCA5/SMC2/CENPM/MAD2L1/CDCA2/CENPI/ESCO2/BRCA1/NEK2/DMC1/MND1/CCNB2/CENPH/KIF18B/PLK1/GPSM2/NCAPG2/CENPS/SPAG5/UBE2C/TPX2/KIF14/CCNE2/ZWINT/BCL7A/SKA1/CENPU/KNL1/NCAPH/SPDL1/BRIP1/NUSAP1/RMI2/CCNB1/SGO1/TRIP13/PTTG1/NUF2/PTTG2/KIF11/ESPL1/BUB1/KIF4A/CDK1/KIF4B/BIRC5/CENPE/MKI67/CENPF/TOP2A/ASPM/CDC20/SPC25/PTTG3P/DLGAP5"
"GO:0051321","GO:0051321","meiotic cell cycle",146,-0.596414483968059,-2.79671310613471,1e-10,7.58305084745763e-09,6.45495093666369e-09,651,"tags=34%, list=7%, signal=32%","ING2/CDK2/RAD51D/NDC1/ANAPC15/CDC25B/INCENP/FANCA/SMC1A/MYBL1/NDC80/MCMDC2/TTK/RAD51C/KIF18A/FANCD2/CDC25C/NCAPD2/RAD54B/XRCC2/SGO2/RBBP8/SMC2/RAD54L/NEK2/DMC1/MND1/CCNB2/RAD51/MNS1/PLK1/EME1/CENPS/CCNE2/NCAPH/BRIP1/SGO1/RAD51AP1/TRIP13/CDC25A/PTTG1/NUF2/PTTG2/ESPL1/EREG/TOP2A/EXO1/ASPM/CDC20/PTTG3P"
"GO:0051306","GO:0051306","mitotic sister chromatid separation",51,-0.724834654061283,-2.79471561641173,1e-10,7.58305084745763e-09,6.45495093666369e-09,1120,"tags=59%, list=12%, signal=52%","NCAPH2/GEN1/CDK5RAP2/HASPIN/AURKB/ANAPC15/INCENP/ZWILCH/CDCA8/BUB1B/KNTC1/NDC80/TTK/SPC24/MAD2L1/PLK1/UBE2C/ZWINT/KNL1/SPDL1/CCNB1/TRIP13/NUF2/ESPL1/BUB1/BIRC5/CENPF/CDC20/SPC25/DLGAP5"
